"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"91",146,"49","160324_1558",2,1,"RAND","Others","grouptype_is_mixed",0,32,20,6.66666666666667,10,12.1129601613717,0,40.3440354121141,"MEDIUM","LOW_STRAT",3
"92",89,"32","160323_1155",17,1,"PREF","Freerider","grouptype_is_mixed",20,30,50,16.6666666666667,15,81.2121212121212,1,56.3299663299663,"HIGH","HIGH_STRAT",3
"93",20,"7","160321_1143",20,1,"STRAT","CondCoop","grouptype_is_mixed",20,18.6,31,10.3333333333333,5.5,37.0677186061801,0,33.5218058294981,"LOW","LOW_STRAT",3
"94",43,"12","160321_1405",19,1,"STRAT","CondCoop","grouptype_is_mixed",15,21.2,27,9,6,24.1280602636535,0,38.4406779661017,"MEDIUM","LOW_STRAT",2
"95",175,"59","160329_1355",7,1,"RAND","Others","grouptype_is_mixed",5,30,25,8.33333333333333,10,21.7154315923799,0,18.6680035244432,"LOW","LOW_STRAT",3
"96",167,"56","160324_1558",23,1,"RAND","Others","grouptype_is_mixed",8,34.8,38,12.6666666666667,15,52.6777609682299,1,56.0150165293887,"HIGH","HIGH_STRAT",2
"97",166,"56","160324_1558",22,1,"RAND","CondCoop","grouptype_is_mixed",10,32.8,38,12.6666666666667,14,42.7836611195159,0,56.0150165293887,"HIGH","HIGH_STRAT",3
"98",184,"62","160329_1355",16,1,"RAND","Freerider","grouptype_is_mixed",15,26,35,11.6666666666667,10,55.5555555555556,1,39.3242791602103,"MEDIUM","LOW_STRAT",2
"99",95,"31","160323_1155",23,1,"PREF","Others","Others",15,24.8,33,11,9,67.979797979798,1,48.8552188552189,"MEDIUM","HIGH_STRAT",3
"100",14,"1","160321_1143",14,1,"STRAT","Freerider","grouptype_is_mixed",4,33.4,29,9.66666666666667,12.5,82.0512820512821,1,63.2719701950471,"HIGH","HIGH_STRAT",3
"101",164,"55","160324_1558",20,1,"RAND","Others","grouptype_is_mixed",7,26.2,22,7.33333333333333,7.5,47.2281055639603,1,36.097943631983,"LOW","LOW_STRAT",3
"102",54,"24","160321_1553",6,1,"STRAT","Others","grouptype_is_mixed",20,18,30,10,5,6.66666666666667,0,4.44444444444444,"LOW","LOW_STRAT",3
"103",186,"62","160329_1355",18,1,"RAND","CondCoop","grouptype_is_mixed",10,31,35,11.6666666666667,12.5,28.8888888888889,0,39.3242791602103,"MEDIUM","LOW_STRAT",3
