"","id","type","condition","condition_contr_table","preferred_contribution","avg_group_contr"
"537","4","CondCoop","STRAT","cond3",20,20
"538","117","Freerider","PREF","cond3",0,20
"539","13","Others","STRAT","cond3",30,20
"540","72","Others","STRAT","cond3",10,20
"541","179","Freerider","RAND","cond3",0,20
"542","170","UncondCoop","RAND","cond3",200,20
"543","103","Freerider","PREF","cond3",0,20
"544","48","CondCoop","STRAT","cond3",0,20
"545","1","CondCoop","STRAT","cond3",10,20
"546","52","CondCoop","STRAT","cond3",50,20
"547","66","CondCoop","STRAT","cond3",20,20
"548","124","Freerider","PREF","cond3",0,20
"549","16","Others","STRAT","cond3",0,20
"550","71","Freerider","STRAT","cond3",0,20
"551","92","Freerider","PREF","cond3",0,20
"552","33","Others","STRAT","cond3",0,20
"553","3","CondCoop","STRAT","cond3",10,20
"554","178","Freerider","RAND","cond3",10,20
"555","69","Freerider","STRAT","cond3",0,20
"556","169","Others","RAND","cond3",100,20
"557","94","Freerider","PREF","cond3",0,20
"558","19","Others","STRAT","cond3",80,20
"559","26","CondCoop","STRAT","cond3",30,20
"560","106","Freerider","PREF","cond3",0,20
"561","180","CondCoop","RAND","cond3",1,20
"562","137","Freerider","PREF","cond3",0,20
"563","76","Freerider","PREF","cond3",0,20
"564","171","Freerider","RAND","cond3",0,20
"565","51","CondCoop","STRAT","cond3",0,20
"566","32","CondCoop","STRAT","cond3",20,20
"567","5","CondCoop","STRAT","cond3",0,20
"568","34","CondCoop","STRAT","cond3",0,20
"569","7","Freerider","STRAT","cond3",0,20
"570","29","CondCoop","STRAT","cond3",50,20
"571","64","CondCoop","STRAT","cond3",12,20
"572","53","CondCoop","STRAT","cond3",40,20
"573","49","CondCoop","STRAT","cond3",20,20
"574","61","CondCoop","STRAT","cond3",0,20
"575","17","CondCoop","STRAT","cond3",0,20
"576","62","CondCoop","STRAT","cond3",30,20
"577","173","CondCoop","RAND","cond4",30,30
"578","172","CondCoop","RAND","cond4",30,30
"579","159","Others","RAND","cond4",15,30
"580","42","CondCoop","STRAT","cond4",0,30
"581","70","CondCoop","STRAT","cond4",40,30
"582","41","Freerider","STRAT","cond4",0,30
"583","21","CondCoop","STRAT","cond4",50,30
"584","56","Others","STRAT","cond4",20,30
"585","125","Freerider","PREF","cond4",3,30
"586","12","Freerider","STRAT","cond4",0,30
"587","2","UncondCoop","STRAT","cond4",200,30
"588","11","CondCoop","STRAT","cond4",0,30
"589","174","Freerider","RAND","cond4",10,30
"590","23","CondCoop","STRAT","cond4",19,30
"591","116","CondCoop","PREF","cond4",70,30
"592","138","Freerider","PREF","cond4",0,30
"593","157","Freerider","RAND","cond4",0,30
"594","38","Others","STRAT","cond4",50,30
"595","44","CondCoop","STRAT","cond4",5,30
"596","142","Others","PREF","cond4",0,30
"597","8","CondCoop","STRAT","cond4",30,30
"598","87","Freerider","PREF","cond4",0,30
"599","57","CondCoop","STRAT","cond4",0,30
"600","31","Freerider","STRAT","cond4",10,30
"601","149","Freerider","RAND","cond4",0,30
"602","152","CondCoop","RAND","cond4",0,30
"603","177","Freerider","RAND","cond4",0,30
"604","162","Others","RAND","cond4",30,30
"605","37","Freerider","STRAT","cond4",0,30
"606","145","Freerider","RAND","cond4",10,30
"607","45","CondCoop","STRAT","cond4",30,30
"608","147","CondCoop","RAND","cond4",0,30
"609","35","Freerider","STRAT","cond4",0,30
"610","105","Others","PREF","cond4",170,30
"611","185","CondCoop","RAND","cond4",90,30
"612","40","Freerider","STRAT","cond4",0,30
